station,member_casual,latitude,longitude,number_of_rides
Racine Ave & Fullerton Ave,member,41.925583962146945,-87.6584507236454,10671
Clark St & Lake St,member,41.885983938506705,-87.63094630102242,10661
Aberdeen St & Jackson Blvd,member,41.87775582891386,-87.65481201343427,10634
Clarendon Ave & Gordon Ter,member,41.95783164824489,-87.64950882691771,10609
Sheridan Rd & Montrose Ave,member,41.96162518255618,-87.65464076024551,10590
Clark St & Wellington Ave,member,41.936496787104794,-87.6475695758919,10545
State St & Randolph St,member,41.88462283525517,-87.62790354535097,10542
Broadway & Belmont Ave,member,41.94008478911491,-87.6454736061453,10530
Sedgwick St & Huron St,member,41.89466366173792,-87.6383692209603,10455
Rush St & Cedar St,member,41.9023326890883,-87.62774835290251,10453
Sheffield Ave & Wrightwood Ave,member,41.92869800890779,-87.65384484998454,10346
Franklin St & Chicago Ave,member,41.89676208133495,-87.6357021660986,10345
McClurg Ct & Erie St,member,41.8944954945363,-87.61798834587705,10330
Canal St & Jackson Blvd,member,41.87729152428013,-87.63941972538484,10238
Clark St & Winnemac Ave,member,41.97332370587378,-87.66784071840011,10157
Clark St & Randolph St,member,41.88458914971522,-87.63181569774054,10113
Desplaines St & Jackson Blvd,member,41.87812928883279,-87.6440304125839,10101
Rush St & Superior St,member,41.895726000894236,-87.62603699519013,10098
DuSable Lake Shore Dr & Wellington Ave,member,41.93667947152662,-87.63682625360647,10068
Milwaukee Ave & Grand Ave,member,41.89157159639478,-87.64834176976098,10041
State St & Kinzie St,member,41.88915719895589,-87.62720170866986,9999
Halsted St & Dickens Ave,member,41.91996099750875,-87.64884679605804,9995
Sheffield Ave & Kingsbury St,member,41.91054862563618,-87.65316070501808,9950
Stockton Dr & Wrightwood Ave,member,41.93131176734228,-87.63873680982235,9907
Millennium Park,member,41.88109316663383,-87.6241339512297,9848
Sedgwick St & Webster Ave,member,41.92216935253881,-87.63892097974775,9792
DuSable Lake Shore Dr & Monroe St,member,41.8809744745071,-87.61674935109076,9718
900 W Harrison St,member,41.87475567980608,-87.64981554525458,9643
Sedgwick St & North Ave,member,41.911360436841335,-87.63868625017814,9599
Mies van der Rohe Way & Chicago Ave,member,41.89700240399205,-87.62177375510409,9559
Lincoln Ave & Diversey Pkwy,member,41.93219253312941,-87.65867860790803,9350
Burling St & Diversey Pkwy,member,41.933119813036136,-87.64775434085503,9298
Southport Ave & Wellington Ave,member,41.9357655475482,-87.66359692066499,9128
Franklin St & Illinois St,member,41.89102111138895,-87.63546285452642,9122
Sangamon St & Lake St,member,41.88582571140978,-87.65105437644294,8895
Wood St & Milwaukee Ave,member,41.90762401819685,-87.6725172948099,8890
Ogden Ave & Chicago Ave,member,41.896364174732234,-87.65406820186014,8795
Wabash Ave & 9th St,member,41.87074698443901,-87.62573966889849,8788
Wolcott Ave & Polk St,member,41.87128878384334,-87.67368993090452,8745
Milwaukee Ave & Wabansia Ave,member,41.91261408321336,-87.68139834119737,8502
Honore St & Division St,member,41.903116269917064,-87.67387174303126,8320
Mies van der Rohe Way & Chestnut St,member,41.898569891609434,-87.62205340264329,8270
Larrabee St & Division St,member,41.903496639462695,-87.64334651292832,8189
Halsted St & Fulton St,member,41.88735300231061,-87.64842049719006,8171
Wells St & Walton St,member,41.89993682565851,-87.6344381305924,8170
Clark St & Berwyn Ave,member,41.977990868144175,-87.66828724059616,8018
Dayton St & North Ave,member,41.91058775118596,-87.64942159376281,8002
Southport Ave & Belmont Ave,member,41.93944228913562,-87.66376427541337,7971
Montrose Harbor,member,41.96395510059542,-87.63818731119588,7944
Racine Ave & Belmont Ave,member,41.939695629514745,-87.65886558325562,7934
Michigan Ave & 14th St,member,41.864125508194775,-87.62373203976789,7927
Carpenter St & Huron St,member,41.89455773690953,-87.65345363400536,7837
Sheridan Rd & Buena Ave,member,41.95848279714597,-87.65499245323593,7803
Wacker Dr & Washington St,member,41.88316663475793,-87.63730292823809,7787
Broadway & Wilson Ave,member,41.9651982971423,-87.65823930344966,7737
Rhodes Ave & 32nd St,member,41.8364563982717,-87.61348446529519,7707
Kedzie Ave & Milwaukee Ave,member,41.92958364626186,-87.70790237987778,7691
Racine Ave & Congress Pkwy,member,41.87464206808491,-87.65703531993165,7608
Greenview Ave & Fullerton Ave,member,41.925362988149224,-87.66581488997232,7586
Financial Pl & Ida B Wells Dr,member,41.87503181206569,-87.63311905648727,7581
