station,member_casual,latitude,longitude,number_of_rides
Milwaukee Ave & Grand Ave,casual,41.89159072454643,-87.64832208599677,5578
Kedzie Ave & Milwaukee Ave,casual,41.9295721375378,-87.70789455379409,5556
Franklin St & Jackson Blvd,casual,41.8777300518616,-87.63527890825915,5549
Lakefront Trail & Bryn Mawr Ave,casual,41.98399634162808,-87.65229866413712,5528
Clinton St & Jackson Blvd,casual,41.87835757050054,-87.64112410364889,5514
Clark St & Winnemac Ave,casual,41.97335583331995,-87.66783959707793,5479
Pine Grove Ave & Irving Park Rd,casual,41.9543876633793,-87.64805690274683,5439
Federal St & Polk St,casual,41.87209157988064,-87.62956634804736,5362
Rush St & Cedar St,casual,41.902341966320314,-87.62774336450757,5351
Sedgwick St & North Ave,casual,41.91136788876049,-87.63867601927917,5244
Broadway & Sheridan Rd,casual,41.95279619495657,-87.65003059201312,5181
Field Blvd & South Water St,casual,41.88628511014862,-87.61749159304189,5181
Clark St & North Ave,casual,41.911965949330884,-87.63197465483078,5171
Ravenswood Ave & Lawrence Ave,casual,41.969004852062014,-87.6742270465872,5160
State St & Kinzie St,casual,41.88914748368431,-87.62719444234051,5157
Ellis Ave & 55th St,casual,41.79429704739992,-87.60144281005635,5146
Dearborn St & Monroe St,casual,41.881079690425786,-87.6296314782832,5120
Canal St & Madison St,casual,41.882282845103695,-87.63977118412207,5063
Wabash Ave & 9th St,casual,41.87074375165016,-87.62573685542986,5048
Clark St & Lake St,casual,41.88599608075532,-87.63094900220831,5031
Sedgwick St & Webster Ave,casual,41.92216289311852,-87.63893520933759,5012
Kimbark Ave & 53rd St,casual,41.79956568797379,-87.59474202684072,4960
California Ave & Milwaukee Ave,casual,41.92267367676363,-87.69713995586453,4916
Halsted St & Fulton St,casual,41.88726271567298,-87.64836142907758,4911
Clinton St & Lake St,casual,41.88556291069696,-87.64186876357935,4864
McCormick Place,casual,41.851409208765176,-87.61884689330314,4859
Kingsbury St & Erie St,casual,41.89384077789419,-87.64174408910046,4858
Southport Ave & Wellington Ave,casual,41.93576909545587,-87.66359660865112,4804
Lincoln Ave & Diversey Pkwy,casual,41.932201899341166,-87.6586734165128,4766
Rush St & Superior St,casual,41.895733622115586,-87.62602494309874,4689
Michigan Ave & Pearson St,casual,41.89753740684604,-87.62352330177663,4683
Larrabee St & Kingsbury St,casual,41.897715005718254,-87.64304981256092,4678
Sheridan Rd & Montrose Ave,casual,41.96160222543909,-87.65463259869566,4646
Shore Dr & 55th St,casual,41.795232222796606,-87.58077537662973,4602
Lakefront Trail & Wilson Ave,casual,41.96581773213939,-87.64540400064843,4534
McClurg Ct & Erie St,casual,41.89450612973742,-87.61799439387907,4532
Franklin St & Illinois St,casual,41.89102257888053,-87.63546359501991,4520
Franklin St & Lake St,casual,41.88582474695179,-87.63547495184181,4501
Wood St & Milwaukee Ave,casual,41.90763096521525,-87.67252233483632,4460
Damen Ave & Cortland St,casual,41.91598084609389,-87.67731584877134,4452
Michigan Ave & Madison St,casual,41.88208153391682,-87.62513832276737,4376
Burling St & Diversey Pkwy,casual,41.93308112459596,-87.64774750007346,4356
Mies van der Rohe Way & Chicago Ave,casual,41.89701622192724,-87.62173605015657,4343
Southport Ave & Wrightwood Ave,casual,41.92878876822495,-87.66389139276325,4321
Clark St & Berwyn Ave,casual,41.97800805795704,-87.6682713247023,4283
Ogden Ave & Chicago Ave,casual,41.89635685038903,-87.65407426369346,4267
Clarendon Ave & Gordon Ter,casual,41.95784008114862,-87.64949339769808,4266
Michigan Ave & Ida B Wells Dr,casual,41.876230884087384,-87.62443634926474,4257
Clark St & Randolph St,casual,41.88459238359596,-87.63179080096896,4252
Honore St & Division St,casual,41.90312279436235,-87.67387744459295,4250
Franklin St & Chicago Ave,casual,41.89677415668877,-87.63570360344623,4222
LaSalle Dr & Huron St,casual,41.894853790600095,-87.63237315651328,4216
Burnham Harbor,casual,41.85744857019724,-87.61381507463166,4208
Greenview Ave & Fullerton Ave,casual,41.925376123840664,-87.6658205530321,4205
Ritchie Ct & Banks St,casual,41.906851650713946,-87.62621417425511,4202
Milwaukee Ave & Wabansia Ave,casual,41.91262556040958,-87.68140768955689,4175
Racine Ave & Fullerton Ave,casual,41.92559657167346,-87.65846778074803,4171
Peoria St & Jackson Blvd,casual,41.87766822632239,-87.64955620896718,4144
Southport Ave & Belmont Ave,casual,41.93943873816908,-87.66377859258213,4140
Sedgwick St & Huron St,casual,41.89464748986627,-87.63839116632987,4038
Dayton St & North Ave,casual,41.910589947554676,-87.64943287424703,4024
Sheffield Ave & Kingsbury St,casual,41.910569652350596,-87.65315610946215,4016
Broadway & Wilson Ave,casual,41.96520137198045,-87.65826932406117,3989
Michigan Ave & 14th St,casual,41.86412486650709,-87.62372005695036,3948
Canal St & Monroe St,casual,41.88169483400925,-87.63949753881008,3891
Canal St & Jackson Blvd,casual,41.87728195255856,-87.63944088052767,3885
Clarendon Ave & Junior Ter,casual,41.9609966355999,-87.64956238898816,3884
Sangamon St & Lake St,casual,41.88583205686525,-87.65105218512487,3844
LaSalle St & Jackson Blvd,casual,41.8781008765757,-87.63184888282603,3811
Clark St & Chicago Ave,casual,41.89670900801004,-87.63086251638478,3784
Stetson Ave & South Water St,casual,41.88673584449325,-87.62226454051601,3779
Wells St & Walton St,casual,41.8999468801356,-87.6344388403297,3761
Western Ave & Winnebago Ave,casual,41.91555301282708,-87.68703659455355,3707
Aberdeen St & Jackson Blvd,casual,41.877745936692016,-87.6547902520994,3682
Cannon Dr & Fullerton Ave,casual,41.92673744971436,-87.63443503705113,3676
Carpenter St & Huron St,casual,41.89455472825721,-87.65345839144858,3569
Larrabee St & Division St,casual,41.903501208108416,-87.64333988923207,3542
Calumet Ave & 18th St,casual,41.85765738147653,-87.61944792099574,3515
Clifton Ave & Armitage Ave,casual,41.918208090757794,-87.65698759790392,3497
Aberdeen St & Randolph St,casual,41.88414511268124,-87.65427752619678,3476
State St & Van Buren St,casual,41.87717965243375,-87.62789359273042,3472
Clark St & Leland Ave,casual,41.967079176035824,-87.66741420138399,3461
Wabash Ave & Adams St,casual,41.87947961993353,-87.62572745421966,3460
Woodlawn Ave & 55th St,casual,41.7952982525976,-87.59648313807455,3407
State St & Harrison St,casual,41.87403319606765,-87.6277089113853,3400
Desplaines St & Randolph St,casual,41.88429423022275,-87.64444870098605,3367
Rush St & Hubbard St,casual,41.89018249417238,-87.62622111653147,3353
Museum of Science and Industry,casual,41.79173645920048,-87.58394839003282,3352
Franklin St & Monroe St,casual,41.88022770855224,-87.6354460696388,3350
Wells St & Polk St,casual,41.872756736230585,-87.63366305639487,3348
Desplaines St & Jackson Blvd,casual,41.87813397891128,-87.64403976914586,3325
Elston Ave & Cortland St,casual,41.916454091172184,-87.66677500014576,3293
900 W Harrison St,casual,41.874761266579355,-87.64981779596918,3245
Sheridan Rd & Buena Ave,casual,41.95844700536623,-87.65503343793917,3222
Halsted St & Willow St,casual,41.913855579114795,-87.64877844774476,3197
Damen Ave & Chicago Ave,casual,41.895673805434576,-87.67712478003766,3187
Buckingham Fountain,casual,41.87569672633051,-87.6207243290575,3183
Bissell St & Armitage Ave*,casual,41.91836296431883,-87.6521723851572,3149
Halsted St & Maxwell St,casual,41.864871637004164,-87.64706810534445,3121
Michigan Ave & 18th St,casual,41.857829540719564,-87.62455217532927,3113
Wabash Ave & 16th St,casual,41.860403516787464,-87.62580462658178,3063
Orleans St & Chestnut St (NEXT Apts),casual,41.89815096802176,-87.63754230296077,3033
Sheffield Ave & Willow St,casual,41.91372185217319,-87.65284884132382,3014
Southport Ave & Clybourn Ave,casual,41.92077037014367,-87.66373355359171,2993
Southport Ave & Irving Park Rd,casual,41.95411947707342,-87.66430293200469,2983
Green St & Washington Blvd,casual,41.883194253387316,-87.64874967232456,2964
Franklin St & Adams St (Temp),casual,41.87927742753485,-87.63551845791228,2941
Clark St & Bryn Mawr Ave,casual,41.98357777477683,-87.66916487499489,2935
Sheridan Rd & Noyes St (NU),casual,42.058236296898436,-87.67745612481936,2934
Ogden Ave & Race Ave,casual,41.89178816017088,-87.6587979743028,2926
Delano Ct & Roosevelt Rd,casual,41.867500266147765,-87.63218880743986,2910
Dearborn St & Adams St,casual,41.879237244897396,-87.62975029245565,2875
State St & Pearson St,casual,41.897437160629806,-87.62876100897131,2858
Sheridan Rd & Argyle St,casual,41.97329683645489,-87.6547166188382,2849
Aberdeen St & Monroe St,casual,41.88045523680844,-87.65555530039367,2845
Halsted St & Polk St,casual,41.871824735921194,-87.64663406114661,2817
Larrabee St & Armitage Ave,casual,41.91808966193675,-87.64375698100923,2814
Loomis St & Lexington St,casual,41.87221938509811,-87.66136446245095,2803
Paulina Ave & North Ave,casual,41.910127670531224,-87.67003843896626,2786
Buckingham Fountain (Temp),casual,41.869457804744606,-87.62359807868346,2780
Eckhart Park,casual,41.8963910606426,-87.66100566600362,2770
Marine Dr & Ainslie St,casual,41.97160227791018,-87.65016074538211,2761
Ashland Ave & Blackhawk St,casual,41.90705887525837,-87.66724090764556,2748
Ashland Ave & Grace St,casual,41.95064981186336,-87.66868085666424,2737
Damen Ave & Thomas St (Augusta Blvd),casual,41.90131746001832,-87.67741118046904,2729
Leavitt St & North Ave,casual,41.91031191678283,-87.68236551217169,2726
Clark St & Montrose Ave,casual,41.961556413659075,-87.66614620335416,2722
Jefferson St & Monroe St,casual,41.88034452373574,-87.64273831691203,2717
Financial Pl & Ida B Wells Dr,casual,41.87501949679823,-87.6330983752158,2711
Morgan St & Polk St,casual,41.871908808960804,-87.6510377337648,2704
Racine Ave & Wrightwood Ave,casual,41.92889734997408,-87.65898195994073,2700
Broadway & Granville Ave,casual,41.994777957134744,-87.66028202978048,2642
Broadway & Argyle St,casual,41.97372317019347,-87.65979081905539,2636
Damen Ave & Division St,casual,41.90322601518589,-87.67843453422,2609
California Ave & Cortez St,casual,41.900362087906444,-87.69673874782592,2608
Morgan St & Lake St*,casual,41.885508384217005,-87.65231201516737,2599
Orleans St & Hubbard St,casual,41.88996450365741,-87.6366412310108,2592
Wentworth Ave & Cermak Rd,casual,41.85309862598294,-87.63189987536255,2579
Sangamon St & Washington Blvd,casual,41.883063530249025,-87.65110636007392,2570
Ashland Ave & Lake St,casual,41.885926441875,-87.66717566145313,2560
Benson Ave & Church St,casual,42.048219697175874,-87.68347609466902,2553
Larrabee St & North Ave,casual,41.91012836174666,-87.64347400904013,2542
Broadway & Thorndale Ave,casual,41.98974576583202,-87.6601360241601,2536
Seeley Ave & Roscoe St,casual,41.94337273395505,-87.67967062070979,2536
Wacker Dr & Washington St,casual,41.88317618923381,-87.63731898380726,2532
Walsh Park,casual,41.91457578272045,-87.66796053116647,2529
Western Ave & Walton St,casual,41.898427522260626,-87.68657782849026,2517
Lake Park Ave & 56th St,casual,41.79326330813917,-87.58780112535189,2515
Greenview Ave & Diversey Pkwy,casual,41.93261979186353,-87.66596377071428,2506
Western Ave & Leland Ave,casual,41.966358389149534,-87.68865702040306,2481
Clark St & Ida B Wells Dr,casual,41.875965396273465,-87.63068083650204,2450
LaSalle St & Washington St,casual,41.88269189664075,-87.63251321455401,2444
N Green St & W Lake St,casual,41.88719560344091,-87.64899403538558,2386
Cornell Ave & Hyde Park Blvd,casual,41.80242819752842,-87.58693034077052,2375
Fort Dearborn Dr & 31st St,casual,41.83854096131845,-87.60825963990311,2374
Lake Park Ave & 53rd St,casual,41.799521733097755,-87.58642749125265,2363
Humboldt Blvd & Armitage Ave,casual,41.917519624860056,-87.70181571325276,2358
Western Ave & Division St,casual,41.90290171228511,-87.68732582740425,2350
Damen Ave & Leland Ave,casual,41.96710163314237,-87.67906258900385,2339
Dearborn St & Van Buren St,casual,41.876259615165026,-87.62921855491642,2333
Clinton St & Roosevelt Rd,casual,41.86713767048151,-87.64107010405417,2326
Damen Ave & Charleston St,casual,41.92006643002175,-87.67791107736842,2299
Winthrop Ave & Lawrence Ave,casual,41.96880070359722,-87.6576336667029,2299
Broadway & Berwyn Ave,casual,41.97835142875109,-87.65976528143231,2290
Wolcott (Ravenswood) Ave & Montrose Ave,casual,41.96143568823144,-87.67622705886026,2290
Elizabeth St & Randolph St,casual,41.88357011255824,-87.65912276388572,2275
Clarendon Ave & Leland Ave,casual,41.96795451537168,-87.65002011877434,2260
Ashland Ave & Wellington Ave,casual,41.936094654326965,-87.66985481328298,2251
Green St & Randolph St*,casual,41.883689360617446,-87.6485395449038,2235
May St & Taylor St,casual,41.86947771776119,-87.65552355892808,2211
Racine Ave & 18th St,casual,41.858194169741964,-87.65647193826166,2209
